Source	Target	Model	Grammaticality	Meaning Preservation	Simplicity	Overall Quality
Among the readers on hand was Mohammed Baghdadi , 32 , a manager at the Ministry of Trade .	mohammed baghdadi , 32 , is a manager at the ministry of trade .	DRESS	4	2	4	3
Among the readers on hand was Mohammed Baghdadi , 32 , a manager at the Ministry of Trade .	the readers on hand was mohammed baghdadi .	S2S-All-FA	2	3	3	2
Among the readers on hand was Mohammed Baghdadi , 32 , a manager at the Ministry of Trade .	he was mohammed baghdadi , 32 , a manager at the ministry of trade .	EditNTS	4	3	4	2
Among the readers on hand was Mohammed Baghdadi , 32 , a manager at the Ministry of Trade .	one of the readers was mohammed , 32 , a . 32 , at the ministry of international .	Transformer	1	2	1	1
Among the readers on hand was Mohammed Baghdadi , 32 , a manager at the Ministry of Trade .	among the teens on hand was ministry of trade , manager , a chemistry teacher at the readers .	DMASS	1	1	1	1
Among the readers on hand was Mohammed Baghdadi , 32 , a manager at the Ministry of Trade .	one of the readers was mohammed baghdadi , 32 .	BERT	4	3	4	3
One of the readers was Mohammed Baghdadi , 32 , who works for the Department of Trade .	mohammed baghdadi is 32 .	Reference	4	1	4	2
One of the readers was Mohammed Baghdadi , 32 , who works for the Department of Trade .	one of the readers was mohammed the city 's rich people supported art , 32 , who works for the department of trade .	PBMT-R	1	2	1	1
One of the readers was Mohammed Baghdadi , 32 , who works for the Department of Trade .	one was mohammed baghdadi , 32 works .	Hybrid	2	1	2	1
One of the readers was Mohammed Baghdadi , 32 , who works for the Department of Trade .	one of the readers was mohammed baghdadi , 32 , who works for the department of trade .	EncDecA	4	4	2	4
One of the readers was Mohammed Baghdadi , 32 , who works for the Department of Trade .	one of the readers was mohammed baghdadi , 32 .	DRESS	4	3	4	3
One of the readers was Mohammed Baghdadi , 32 , who works for the Department of Trade .	one of the readers was mohammed baghdadi and 32 .	S2S-All-FA	2	3	3	2
One of the readers was Mohammed Baghdadi , 32 , who works for the Department of Trade .	one of the readers was mohammed baghdadi , 32 .	EditNTS	4	3	4	3
One of the readers was Mohammed Baghdadi , 32 , who works for the Department of Trade .	one of the sales mohammedi was 32 .	Transformer	1	1	3	1
One of the readers was Mohammed Baghdadi , 32 , who works for the Department of Trade .	one of the teens was department of trade , readers , who works for the mohammed baghdadi .	DMASS	1	1	1	1
One of the readers was Mohammed Baghdadi , 32 , who works for the Department of Trade .	one of the readers was mohammed baghdadi , 32 .	BERT	4	3	4	3
They are tired and it shows in their voices , but they 're still on the freedom highway .	their voices sound tired .	Reference	4	2	4	2
They are tired and it shows in their voices , but they 're still on the freedom highway .	they are tired and it shows in their voices in protest , but they are still on the highway .	PBMT-R	4	3	2	3
They are tired and it shows in their voices , but they 're still on the freedom highway .	they are it shows they 're .	Hybrid	1	1	1	1
They are tired and it shows in their voices , but they 're still on the freedom highway .	they are still still on the freedom road .	EncDecA	3	2	3	2
They are tired and it shows in their voices , but they 're still on the freedom highway .	they are tired and it shows in their voices .	DRESS	4	2	4	2
They are tired and it shows in their voices , but they 're still on the freedom highway .	they 're still tired and it shows in their voices .	S2S-All-FA	4	2	4	2
They are tired and it shows in their voices , but they 're still on the freedom highway .	they are tired and it shows in their voices .	EditNTS	4	2	4	2
They are tired and it shows in their voices , but they 're still on the freedom highway .	they are tired of the things they make on the highway .	Transformer	4	1	1	1
They are tired and it shows in their voices , but they 're still on the freedom highway .	yet they 're yet on the street fence .	DMASS	1	1	2	1
They are tired and it shows in their voices , but they 're still on the freedom highway .	they are still on the highway leading the job .	BERT	1	2	4	2
Piechocki is responsible for integrating , testing and executing all of the engineering requirements for Ford 's full-size SUVs , Ford Expedition and Lincoln Navigator .	the first is dawn piechocki .	Reference	4	1	4	1
Piechocki is responsible for integrating , testing and executing all of the engineering requirements for Ford 's full-size SUVs , Ford Expedition and Lincoln Navigator .	piechocki is responsible for integrating , testing and executing all of the engineering rules for ford 's full-size suvs , ford expedition and lincoln navigator .	PBMT-R	4	4	2	4
Piechocki is responsible for integrating , testing and executing all of the engineering requirements for Ford 's full-size SUVs , Ford Expedition and Lincoln Navigator .	piechocki is for integrating testing executing all .	Hybrid	1	1	4	1
Piechocki is responsible for integrating , testing and executing all of the engineering requirements for Ford 's full-size SUVs , Ford Expedition and Lincoln Navigator .	piechocki is responsible for combining , testing and executing all of the new rules for ford 's full-size vehicles , ford expedition and lincoln navigator .	EncDecA	4	3	3	4
Piechocki is responsible for integrating , testing and executing all of the engineering requirements for Ford 's full-size SUVs , Ford Expedition and Lincoln Navigator .	piechocki is responsible for combining , testing and executing all of the new rules .	DRESS	4	2	4	3
Piechocki is responsible for integrating , testing and executing all of the engineering requirements for Ford 's full-size SUVs , Ford Expedition and Lincoln Navigator .	piechocki is responsible for the suvs , ford expedition and lincoln navigator .	S2S-All-FA	4	2	4	2
Piechocki is responsible for integrating , testing and executing all of the engineering requirements for Ford 's full-size SUVs , Ford Expedition and Lincoln Navigator .	piechocki is responsible for integrating , testing .	EditNTS	2	1	2	2
Piechocki is responsible for integrating , testing and executing all of the engineering requirements for Ford 's full-size SUVs , Ford Expedition and Lincoln Navigator .	piecho apologized for integrating testing and testing of all the engineering requirements for ford 's full-size , full-size ford and ford , expedition-size , and ford 's plane .	Transformer	1	1	1	1
Piechocki is responsible for integrating , testing and executing all of the engineering requirements for Ford 's full-size SUVs , Ford Expedition and Lincoln Navigator .	engineering is blamed for requirements , nutrition and lincoln navigator all of the ideas for ford 's full-size suvs , ford expedition and executing .	DMASS	1	1	1	1
Piechocki is responsible for integrating , testing and executing all of the engineering requirements for Ford 's full-size SUVs , Ford Expedition and Lincoln Navigator .	it will also cancel any building of the ford 's trucks , ford expedition and ford navigator .	BERT	3	1	3	1
Gary Goddard , founder of Gary Goddard Entertainment , a company that designs theme parks , attractions and upscale resorts , estimated that about half his work in the last few years has been in Asia and the Middle East .	gary goddard started gary goddard entertainment .	Reference	4	2	4	2
Gary Goddard , founder of Gary Goddard Entertainment , a company that designs theme parks , attractions and upscale resorts , estimated that about half his work in the last few years has been in Asia and the Middle East .	the has , founder of gary has entertainment , a company that designs theme parks , rides and rich resorts , estimated that about half of his work in the last few years has been in asia and the middle east .	PBMT-R	2	3	2	3
Gary Goddard , founder of Gary Goddard Entertainment , a company that designs theme parks , attractions and upscale resorts , estimated that about half his work in the last few years has been in Asia and the Middle East .	gary goddard , founder , a company that designs parks , and attractions resorts estimated that about work has been .	Hybrid	1	1	1	1
Gary Goddard , founder of Gary Goddard Entertainment , a company that designs theme parks , attractions and upscale resorts , estimated that about half his work in the last few years has been in Asia and the Middle East .	he estimates that about half his work in the last few years has been in asia and the middle east .	EncDecA	4	3	4	3
Gary Goddard , founder of Gary Goddard Entertainment , a company that designs theme parks , attractions and upscale resorts , estimated that about half his work in the last few years has been in Asia and the Middle East .	gary goddard is a company that sells theme parks , hotels and upscale .	DRESS	2	2	3	2
Gary Goddard , founder of Gary Goddard Entertainment , a company that designs theme parks , attractions and upscale resorts , estimated that about half his work in the last few years has been in Asia and the Middle East .	gary goddard is a company that designs theme parks .	S2S-All-FA	4	2	4	3
Gary Goddard , founder of Gary Goddard Entertainment , a company that designs theme parks , attractions and upscale resorts , estimated that about half his work in the last few years has been in Asia and the Middle East .	gary goddard entertainment is a company that designs theme parks .	EditNTS	4	2	4	3
Gary Goddard , founder of Gary Goddard Entertainment , a company that designs theme parks , attractions and upscale resorts , estimated that about half his work in the last few years has been in Asia and the Middle East .	gary goddard goddard is the founder of scientist of gary goddard goddard goddard goddard , a entertainment company that has been found in the middle east and asia .	Transformer	1	1	1	1
Gary Goddard , founder of Gary Goddard Entertainment , a company that designs theme parks , attractions and upscale resorts , estimated that about half his work in the last few years has been in Asia and the Middle East .	estimated , a company that sells hot grass , tested grass fires , blood and deadly car sandwiches .	DMASS	1	1	1	1
Gary Goddard , founder of Gary Goddard Entertainment , a company that designs theme parks , attractions and upscale resorts , estimated that about half his work in the last few years has been in Asia and the Middle East .	gary goddard is the founder of gary goddard entertainment , a company that designs theme parks , attractions and upscale resorts .	BERT	4	3	4	3
Gary Goddard is the founder of Gary Goddard Entertainment .	gary goddard started gary goddard entertainment .	Reference	4	4	2	4
Gary Goddard is the founder of Gary Goddard Entertainment .	the has been is the founder of gary has been entertainment .	PBMT-R	1	1	1	1
Gary Goddard is the founder of Gary Goddard Entertainment .	gary goddard is the founder .	Hybrid	4	3	4	4
Gary Goddard is the founder of Gary Goddard Entertainment .	gary goddard is the founder of gary entertainment .	EncDecA	4	3	2	3
Gary Goddard is the founder of Gary Goddard Entertainment .	gary goddard is the founder of gary entertainment .	DRESS	4	3	2	3
Gary Goddard is the founder of Gary Goddard Entertainment .	he is a founder of gary goddard entertainment .	S2S-All-FA	4	3	2	3
Gary Goddard is the founder of Gary Goddard Entertainment .	gary goddard is the founder of gary goddard entertainment .	EditNTS	4	4	2	4
Gary Goddard is the founder of Gary Goddard Entertainment .	gary goddard is the founder of scientist gary goddard goddard , who also said he would make the decision .	Transformer	1	1	1	1
Gary Goddard is the founder of Gary Goddard Entertainment .	gary goddard is the founder of gary goddard entertainment .	DMASS	4	4	2	4
Gary Goddard is the founder of Gary Goddard Entertainment .	gary goddard is the founder of gary goddard entertainment .	BERT	4	4	2	4
Gary Goddard is the founder of Gary Goddard Entertainment , which designs theme parks , attractions and upscale resorts .	gary goddard started gary goddard entertainment .	Reference	4	2	4	2
Gary Goddard is the founder of Gary Goddard Entertainment , which designs theme parks , attractions and upscale resorts .	the has is the founder of gary has entertainment , which designs theme parks , rides and rich resorts .	PBMT-R	1	1	1	1
Gary Goddard is the founder of Gary Goddard Entertainment , which designs theme parks , attractions and upscale resorts .	gary goddard is the founder designs parks attractions resorts .	Hybrid	1	2	4	2
Gary Goddard is the founder of Gary Goddard Entertainment , which designs theme parks , attractions and upscale resorts .	gary goddard is the founder of gary goddard entertainment .	EncDecA	4	2	4	2
Gary Goddard is the founder of Gary Goddard Entertainment , which designs theme parks , attractions and upscale resorts .	gary goddard is the founder of gary goddard entertainment .	DRESS	4	2	4	2
Gary Goddard is the founder of Gary Goddard Entertainment , which designs theme parks , attractions and upscale resorts .	gary goddard is a founder of entertainment .	S2S-All-FA	3	2	2	2
Gary Goddard is the founder of Gary Goddard Entertainment , which designs theme parks , attractions and upscale resorts .	gary goddard entertainment is a theme parks , attractions and upscale resorts .	EditNTS	3	2	3	2
Gary Goddard is the founder of Gary Goddard Entertainment , which designs theme parks , attractions and upscale resorts .	gary goddard goddard is the founder of entertainment scientist gary goddard goddard goddard goddard goddard , which designs .	Transformer	1	1	1	1
Gary Goddard is the founder of Gary Goddard Entertainment , which designs theme parks , attractions and upscale resorts .	gary goddard is the founder of parks .	DMASS	4	1	4	1
Gary Goddard is the founder of Gary Goddard Entertainment , which designs theme parks , attractions and upscale resorts .	gary goddard is the founder of gary goddard entertainment , which designs theme parks , theme parks and upscale resorts .	BERT	3	3	2	3
Their fatigue changes their voices , but they 're still on the freedom highway .	their voices sound tired .	Reference	4	1	4	1
Their fatigue changes their voices , but they 're still on the freedom highway .	their fatigue changes their voices in protest , but they are still on the highway .	PBMT-R	3	2	3	2
Their fatigue changes their voices , but they 're still on the freedom highway .	changes voices they 're .	Hybrid	1	1	1	1
Their fatigue changes their voices , but they 're still on the freedom highway .	their problems and fatigue changes their voices .	EncDecA	4	2	4	2
Their fatigue changes their voices , but they 're still on the freedom highway .	their problems make their problems and fatigue changes their voices .	DRESS	1	1	1	1
Their fatigue changes their voices , but they 're still on the freedom highway .	they 're still on the freedom highway .	S2S-All-FA	4	2	4	2
Their fatigue changes their voices , but they 're still on the freedom highway .	their fatigue changes their voices , but they are still on the freedom .	EditNTS	2	2	3	2
Their fatigue changes their voices , but they 're still on the freedom highway .	their tired changes were dangerous .	Transformer	1	1	1	1
Their fatigue changes their voices , but they 're still on the freedom highway .	their task wo n't be free yet on the street list .	DMASS	1	1	1	1
Their fatigue changes their voices , but they 're still on the freedom highway .	their tired voices change their voices .	BERT	3	1	3	1
Weariness frays their voices , but they 're still on the freedom highway .	their voices sound tired .	Reference	4	2	4	2
Weariness frays their voices , but they 're still on the freedom highway .	weariness frays their voices in protest , but they are still on the highway .	PBMT-R	3	2	2	2
Weariness frays their voices , but they 're still on the freedom highway .	frays voices they 're .	Hybrid	1	1	1	1
Weariness frays their voices , but they 're still on the freedom highway .	but they 're still on the freedom road .	EncDecA	4	2	4	2
Weariness frays their voices , but they 're still on the freedom highway .	but they 're still on the freedom highway .	DRESS	4	2	4	2
Weariness frays their voices , but they 're still on the freedom highway .	they say they 're still on the freedom highway .	S2S-All-FA	4	2	3	2
Weariness frays their voices , but they 're still on the freedom highway .	weariness frays their voices , but they are still on the freedom highway .	EditNTS	4	4	2	4
Weariness frays their voices , but they 're still on the freedom highway .	they are still on the freedom highway .	Transformer	4	2	4	2
Weariness frays their voices , but they 're still on the freedom highway .	yet , they 're yet on the course highway .	DMASS	1	1	1	1
Weariness frays their voices , but they 're still on the freedom highway .	they 're still on the freedom highway .	BERT	4	2	4	2
He felt joy .	he felt very happy .	Reference	4	3	2	3
He felt joy .	the felt joy . ''	PBMT-R	1	2	2	1
He felt joy .	he felt joy .	Hybrid	4	4	2	4
He felt joy .	he felt joy .	EncDecA	4	4	2	4
He felt joy .	he felt joy .	DRESS	4	4	2	4
He felt joy .	but he felt joy .	S2S-All-FA	4	3	2	3
He felt joy .	he felt that he wanted , joy .	EditNTS	3	3	1	2
He felt joy .	he felt joy .	Transformer	4	4	2	4
He felt joy .	he felt himself .	DMASS	4	1	2	1
He felt joy .	he felt joy .	BERT	4	4	2	4
He felt joy and happiness .	he felt very happy .	Reference	4	3	4	3
He felt joy and happiness .	the felt joy .	PBMT-R	1	2	2	1
He felt joy and happiness .	he felt joy and happiness .	Hybrid	4	4	2	4
He felt joy and happiness .	he felt forgiveness and joy .	EncDecA	4	1	2	2
He felt joy and happiness .	he felt happy and joy .	DRESS	3	4	2	3
He felt joy and happiness .	he felt joy and her .	S2S-All-FA	3	1	2	1
He felt joy and happiness .	he felt joy and happiness about mars .	EditNTS	4	1	1	1
He felt joy and happiness .	he felt joy .	Transformer	4	3	3	3
He felt joy and happiness .	he also recalled both and .	DMASS	1	1	2	1
He felt joy and happiness .	he felt joy .	BERT	4	3	3	3
Weariness tears up their voices , but they 're still on the freedom highway .	their voices sound tired .	Reference	4	1	4	2
Weariness tears up their voices , but they 're still on the freedom highway .	weariness tears up their voices in protest , but they are still on the highway .	PBMT-R	3	2	2	3
Weariness tears up their voices , but they 're still on the freedom highway .	weariness tears up voices they 're .	Hybrid	2	1	3	1
Weariness tears up their voices , but they 're still on the freedom highway .	but they 're still on the freedom road .	EncDecA	4	3	4	3
Weariness tears up their voices , but they 're still on the freedom highway .	but they 're still on the freedom highway .	DRESS	4	3	4	3
Weariness tears up their voices , but they 're still on the freedom highway .	anxiety tears up their voices .	S2S-All-FA	2	1	3	1
Weariness tears up their voices , but they 're still on the freedom highway .	weariness tears up their voices , but they 're still on the street .	EditNTS	4	2	3	2
Weariness tears up their voices , but they 're still on the freedom highway .	they 're still on the highway where people feel safe .	Transformer	4	1	2	1
Weariness tears up their voices , but they 're still on the freedom highway .	yet they 're still on the course highway .	DMASS	3	2	3	2
Weariness tears up their voices , but they 're still on the freedom highway .	they 're still on the freedom highway .	BERT	4	3	4	3
That has n't stopped his love of learning , and reading , especially histories of European royalty and World War II .	richie loves to read .	Reference	4	1	4	1
That has n't stopped his love of learning , and reading , especially histories of European royalty and World War II .	that has n't stopped his love of learning and reading , especially histories of european the and world war ii .	PBMT-R	2	3	3	2
That has n't stopped his love of learning , and reading , especially histories of European royalty and World War II .	that has stopped , and love histories .	Hybrid	1	1	3	1
That has n't stopped his love of learning , and reading , especially histories of European royalty and World War II .	that has n't stopped his love of learning , and reading , especially histories of european gold and world war ii .	EncDecA	3	2	2	2
That has n't stopped his love of learning , and reading , especially histories of European royalty and World War II .	that has n't stopped his love of learning , and reading , especially stories of european gold .	DRESS	3	1	4	1
That has n't stopped his love of learning , and reading , especially histories of European royalty and World War II .	that has n't stopped a love of learning .	S2S-All-FA	4	2	4	2
That has n't stopped his love of learning , and reading , especially histories of European royalty and World War II .	that has n't stopped his love of european war .	EditNTS	3	1	4	2
That has n't stopped his love of learning , and reading , especially histories of European royalty and World War II .	that has n't stopped his love of learning , and especially reading , of other histories and royalty for world war ii .	Transformer	2	3	4	2
That has n't stopped his love of learning , and reading , especially histories of European royalty and World War II .	that has n't stopped his hand of reading , and reading , especially royalty of european histories and world war ii .	DMASS	1	1	4	1
That has n't stopped his love of learning , and reading , especially histories of European royalty and World War II .	and reading , he has n't stopped his love of learning , especially history between european and world war ii .	BERT	1	2	1	2
Richie loves learning , and reading .	richie loves to read .	Reference	4	3	4	3
Richie loves learning , and reading .	richie loves to learn , and reading .	PBMT-R	3	4	2	3
Richie loves learning , and reading .	richie loves learning reading .	Hybrid	4	2	3	2
Richie loves learning , and reading .	richie loves learning , and reading .	EncDecA	4	4	4	4
Richie loves learning , and reading .	richie loves learning .	DRESS	4	3	4	3
Richie loves learning , and reading .	but richie loves learning .	S2S-All-FA	4	3	4	3
Richie loves learning , and reading .	richie loves how to learn learning , and reading .	EditNTS	3	2	3	3
Richie loves learning , and reading .	richie loves learning .	Transformer	4	3	4	3
Richie loves learning , and reading .	learning loves reading , and educated .	DMASS	1	1	2	1
Richie loves learning , and reading .	richie loves learning , and reading .	BERT	4	4	4	4
That has n't stopped his love of learning , and reading .	richie loves to read .	Reference	4	1	4	1
That has n't stopped his love of learning , and reading .	that has n't stopped the love of learning and reading .	PBMT-R	4	3	2	3
That has n't stopped his love of learning , and reading .	that has stopped love .	Hybrid	4	1	4	1
That has n't stopped his love of learning , and reading .	that has n't stopped his love of learning , and reading .	EncDecA	4	4	2	4
That has n't stopped his love of learning , and reading .	that has n't stopped his love of learning .	DRESS	3	3	3	3
That has n't stopped his love of learning , and reading .	that has n't stopped a love of learning .	S2S-All-FA	3	3	3	3
That has n't stopped his love of learning , and reading .	that has n't stopped his love of learning .	EditNTS	3	3	3	3
That has n't stopped his love of learning , and reading .	that has n't stopped his love of reading , and reading .	Transformer	4	4	2	4
That has n't stopped his love of learning , and reading .	that has n't stopped his hands of adults .	DMASS	1	1	2	1
That has n't stopped his love of learning , and reading .	that has n't stopped his love of learning , and reading .	BERT	4	4	2	4
She also tests out vehicles in different environments around the world .	piechocki also tests vehicles .	Reference	4	1	4	2
She also tests out vehicles in different environments around the world .	she also tests out in different setting as children around the world .	PBMT-R	1	1	1	1
She also tests out vehicles in different environments around the world .	she tests out vehicles .	Hybrid	4	2	4	2
She also tests out vehicles in different environments around the world .	she also tests out vehicles in different places around the world .	EncDecA	4	3	2	4
She also tests out vehicles in different environments around the world .	she also tests out vehicles in different places around the world .	DRESS	4	3	2	4
She also tests out vehicles in different environments around the world .	she also tests out cars .	S2S-All-FA	4	1	4	2
She also tests out vehicles in different environments around the world .	she also tests out a full car around the world .	EditNTS	3	2	2	2
She also tests out vehicles in different environments around the world .	she also tests in different parts of the world .	Transformer	4	2	3	2
She also tests out vehicles in different environments around the world .	she also does poor than planes in different parts .	DMASS	1	1	1	1
She also tests out vehicles in different environments around the world .	she also tests out other cars with different kinds of cars .	BERT	1	1	2	1
She also tests out vehicles in diverse environments around the world including sand , towing and rock-climbing evaluations in Borrego , California , desert drills in Dubai , and performance drives from Mexico City at 7,500 feet to Acapulco at sea level .	piechocki also tests vehicles .	Reference	4	1	4	1
She also tests out vehicles in diverse environments around the world including sand , towing and rock-climbing evaluations in Borrego , California , desert drills in Dubai , and performance drives from Mexico City at 7,500 feet to Acapulco at sea level .	she also tests out in diverse tasks around the world , including sand , towing and rock-climbing exams in borrego california desert drills in dubai , and performance drives from mexico city at 7,500 feet to soccer at sea level .	PBMT-R	2	2	2	2
She also tests out vehicles in diverse environments around the world including sand , towing and rock-climbing evaluations in Borrego , California , desert drills in Dubai , and performance drives from Mexico City at 7,500 feet to Acapulco at sea level .	she also tests out vehicles in diverse environments around the world , including sand towing and rock-climbing evaluations in borrego , california , desert drills in dubai , performance and drives from mexico city at 7,500 feet to acapulco at sea level .	Hybrid	3	3	2	3
She also tests out vehicles in diverse environments around the world including sand , towing and rock-climbing evaluations in Borrego , California , desert drills in Dubai , and performance drives from Mexico City at 7,500 feet to Acapulco at sea level .	she also tests out trucks in museums around the world including sand .	EncDecA	1	1	2	1
She also tests out vehicles in diverse environments around the world including sand , towing and rock-climbing evaluations in Borrego , California , desert drills in Dubai , and performance drives from Mexico City at 7,500 feet to Acapulco at sea level .	she also tests out vehicles in museums around the world including sand .	DRESS	1	1	2	1
She also tests out vehicles in diverse environments around the world including sand , towing and rock-climbing evaluations in Borrego , California , desert drills in Dubai , and performance drives from Mexico City at 7,500 feet to Acapulco at sea level .	he also tests out vehicles in dubai .	S2S-All-FA	4	1	4	1
She also tests out vehicles in diverse environments around the world including sand , towing and rock-climbing evaluations in Borrego , California , desert drills in Dubai , and performance drives from Mexico City at 7,500 feet to Acapulco at sea level .	she also tests out a long time in dubai .	EditNTS	1	1	2	1
She also tests out vehicles in diverse environments around the world including sand , towing and rock-climbing evaluations in Borrego , California , desert drills in Dubai , and performance drives from Mexico City at 7,500 feet to Acapulco at sea level .	the vehicle can be seen as something like as the ones in the region .	Transformer	1	1	1	1
She also tests out vehicles in diverse environments around the world including sand , towing and rock-climbing evaluations in Borrego , California , desert drills in Dubai , and performance drives from Mexico City at 7,500 feet to Acapulco at sea level .	she also studies out planes in around , the , sand , including , and level .	DMASS	1	1	2	1
She also tests out vehicles in diverse environments around the world including sand , towing and rock-climbing evaluations in Borrego , California , desert drills in Dubai , and performance drives from Mexico City at 7,500 feet to Acapulco at sea level .	she also tests out vehicles in different environments .	BERT	4	2	4	2
'' The icon Rosa Parks as mother of the civil rights movement -- as shy , genteel , working-class black woman -- it was the public persona she thought was important to maintain because of the tenor of the times she lived through , '' said Adrienne Cannon , African-American history and culture specialist for the Manuscript Division of the Library of Congress .	adrienne cannon studies african-american history .	Reference	4	1	4	1
'' The icon Rosa Parks as mother of the civil rights movement -- as shy , genteel , working-class black woman -- it was the public persona she thought was important to maintain because of the tenor of the times she lived through , '' said Adrienne Cannon , African-American history and culture specialist for the Manuscript Division of the Library of Congress .	'' the icon rosa parks as mother of the civil rights movement -- as shy , genteel , called black woman -- it was the public persona thought she was important to maintain because of the tenor of the times she lived through , '' said adrienne cannon , african-american history and culture works for the manuscript division of the library of congress .	PBMT-R	3	4	2	4
'' The icon Rosa Parks as mother of the civil rights movement -- as shy , genteel , working-class black woman -- it was the public persona she thought was important to maintain because of the tenor of the times she lived through , '' said Adrienne Cannon , African-American history and culture specialist for the Manuscript Division of the Library of Congress .	'' icon rosa parks as the mother of the civil rights movement -- as shy , genteel , working-class black woman -- it was the public persona thought she was important to maintain because of the tenor of the times she lived through , '' said adrienne cannon , african-american history and culture specialist for the manuscript division of the library of congress .	Hybrid	4	4	2	4
'' The icon Rosa Parks as mother of the civil rights movement -- as shy , genteel , working-class black woman -- it was the public persona she thought was important to maintain because of the tenor of the times she lived through , '' said Adrienne Cannon , African-American history and culture specialist for the Manuscript Division of the Library of Congress .	'' the name rosa parks as hardworking of the civil rights movement -- as shy , working-class black girl -- it was the public genteel , working-class black girl -- as shy , working-class black girl -- as shy , working-class black girl -- as shy , working-class black girl .	EncDecA	1	1	1	1
'' The icon Rosa Parks as mother of the civil rights movement -- as shy , genteel , working-class black woman -- it was the public persona she thought was important to maintain because of the tenor of the times she lived through , '' said Adrienne Cannon , African-American history and culture specialist for the Manuscript Division of the Library of Congress .	adrienne cannon , age black woman , was the call rosa parks as mother of the civil rights movement .	DRESS	1	1	1	1
'' The icon Rosa Parks as mother of the civil rights movement -- as shy , genteel , working-class black woman -- it was the public persona she thought was important to maintain because of the tenor of the times she lived through , '' said Adrienne Cannon , African-American history and culture specialist for the Manuscript Division of the Library of Congress .	rosa parks is a mother of the civil rights movement .	S2S-All-FA	3	1	4	1
'' The icon Rosa Parks as mother of the civil rights movement -- as shy , genteel , working-class black woman -- it was the public persona she thought was important to maintain because of the tenor of the times she lived through , '' said Adrienne Cannon , African-American history and culture specialist for the Manuscript Division of the Library of Congress .	she lived through , '' said cannon african-american history .	EditNTS	1	1	1	1
'' The icon Rosa Parks as mother of the civil rights movement -- as shy , genteel , working-class black woman -- it was the public persona she thought was important to maintain because of the tenor of the times she lived through , '' said Adrienne Cannon , African-American history and culture specialist for the Manuscript Division of the Library of Congress .	she said she lived through the walls of the public for the writing of the african-american culture for the library .	Transformer	1	1	1	1
'' The icon Rosa Parks as mother of the civil rights movement -- as shy , genteel , working-class black woman -- it was the public persona she thought was important to maintain because of the tenor of the times she lived through , '' said Adrienne Cannon , African-American history and culture specialist for the Manuscript Division of the Library of Congress .	, the was -- as she of the civil rights -rrb- -lrb- genteel -rrb- .	DMASS	1	1	1	1
'' The icon Rosa Parks as mother of the civil rights movement -- as shy , genteel , working-class black woman -- it was the public persona she thought was important to maintain because of the tenor of the times she lived through , '' said Adrienne Cannon , African-American history and culture specialist for the Manuscript Division of the Library of Congress .	she was a member of the american civil rights movement , which is a museum of history and culture .	BERT	4	1	2	1
The NASCAR Acceleration Nation initiative focuses on the three D 's of speed -- downforce , drafting and drag -- and includes instructional materials for teachers .	it is called nascar acceleration nation .	Reference	4	1	4	1
The NASCAR Acceleration Nation initiative focuses on the three D 's of speed -- downforce , drafting and drag -- and includes instructional materials for teachers .	the nascar acceleration nation program is on the three d 's of speed -- downforce , drafting and drag -- and instructional materials for teachers .	PBMT-R	3	3	3	3
